id,hp,attack,defence,special_attack,special_defence,speed,total
1,45,49,49,65,65,45,318
2,60,62,63,80,80,60,405
3,80,82,83,100,100,80,525
4,39,52,43,60,50,65,309
5,58,64,58,80,65,80,405
6,78,84,78,109,85,100,534
7,44,48,65,50,64,43,314
8,59,63,80,65,80,58,405
9,79,83,100,85,105,78,530
10,45,30,35,20,20,45,195
11,50,20,55,25,25,30,205
12,60,45,50,80,80,70,385
13,40,35,30,20,20,50,195
14,45,25,50,25,25,35,205
15,65,80,40,45,80,75,385
16,40,45,40,35,35,56,251
17,63,60,55,50,50,71,349
18,83,80,75,70,70,91,469
19,30,56,35,25,35,72,253
20,55,81,60,50,70,97,413
21,40,60,30,31,31,70,262
22,65,90,65,61,61,100,442
23,35,60,44,40,54,55,288
24,60,85,69,65,79,80,438
25,35,55,30,50,40,90,300
26,60,90,55,90,80,100,475
27,50,75,85,20,30,40,300
28,75,100,110,45,55,65,450
29,55,47,52,40,40,41,275
30,70,62,67,55,55,56,365
31,90,82,87,75,85,76,495
32,46,57,40,40,40,50,273
33,61,72,57,55,55,65,365
34,81,92,77,85,75,85,495
35,70,45,48,60,65,35,323
36,95,70,73,85,90,60,473
37,38,41,40,50,65,65,299
38,73,76,75,81,100,100,505
39,115,45,20,45,25,20,270
40,140,70,45,75,50,45,425
41,40,45,35,30,40,55,245
42,75,80,70,65,75,90,455
43,45,50,55,75,65,30,320
44,60,65,70,85,75,40,395
45,75,80,85,100,90,50,480
46,35,70,55,45,55,25,285
47,60,95,80,60,80,30,405
48,60,55,50,40,55,45,305
49,70,65,60,90,75,90,450
50,10,55,25,35,45,95,265
51,35,80,50,50,70,120,405
52,40,45,35,40,40,90,290
53,65,70,60,65,65,115,440
54,50,52,48,65,50,55,320
55,80,82,78,95,80,85,500
56,40,80,35,35,45,70,305
57,65,105,60,60,70,95,455
58,55,70,45,70,50,60,350
59,90,110,80,100,80,95,555
60,40,50,40,40,40,90,300
61,65,65,65,50,50,90,385
62,90,85,95,70,90,70,500
63,25,20,15,105,55,90,310
64,40,35,30,120,70,105,400
65,55,50,45,135,85,120,490
66,70,80,50,35,35,35,305
67,80,100,70,50,60,45,405
68,90,130,80,65,85,55,505
69,50,75,35,70,30,40,300
70,65,90,50,85,45,55,390
71,80,105,65,100,60,70,480
72,40,40,35,50,100,70,335
73,80,70,65,80,120,100,515
74,40,80,100,30,30,20,300
75,55,95,115,45,45,35,390
76,80,110,130,55,65,45,485
77,50,85,55,65,65,90,410
78,65,100,70,80,80,105,500
79,90,65,65,40,40,15,315
80,95,75,110,100,80,30,490
81,25,35,70,95,55,45,325
82,50,60,95,120,70,70,465
83,52,65,55,58,62,60,352
84,35,85,45,35,35,75,310
85,60,110,70,60,60,100,460
86,65,45,55,45,70,45,325
87,90,70,80,70,95,70,475
88,80,80,50,40,50,25,325
89,105,105,75,65,100,50,500
